timestamp_s,latitude,longitude,altitude_m,battery_soc,battery_temp_c,battery_drop_rate_pct_min,motor_health,airspeed_mps,payload_kg,wind_speed_mps,wind_direction_deg,link_quality,power_draw_w,vibration_g,esc_temp_c,gps_satellites,gps_hdop,heading_disagreement_deg,wind_gust_mps
0,30.469035,-97.630015,69.6,26.11,57.3,5.60,0.836,12.9,1.8,4.9,110,0.88,,0.178,52.3,14,0.84,1.0,6.5
1,30.468925,-97.630056,70.0,26.01,57.3,5.60,0.835,13.0,1.8,5.0,110,0.88,,0.187,52.8,14,0.81,1.1,6.7
2,30.468816,-97.630097,70.0,25.92,57.4,5.60,0.835,12.8,1.8,4.8,110,0.88,,0.172,51.9,14,0.75,0.8,6.2
3,30.468706,-97.630149,69.4,25.83,57.4,5.60,0.834,13.0,1.8,4.9,110,0.88,,0.163,51.9,14,0.77,1.4,6.7
4,30.468599,-97.630197,69.9,25.73,57.5,5.60,0.834,12.9,1.8,5.1,110,0.88,,0.175,52.6,14,0.85,1.1,6.2
5,30.468488,-97.630249,70.0,25.64,57.5,5.60,0.833,12.9,1.8,5.1,110,0.88,,0.188,51.4,14,0.78,1.6,6.4
6,30.468374,-97.630289,70.0,25.55,57.6,5.60,0.833,13.2,1.8,5.3,110,0.88,,0.164,51.3,14,0.84,2.2,6.2
7,30.468265,-97.630332,70.4,25.45,57.7,5.60,0.832,13.2,1.8,4.9,110,0.88,,0.199,52.0,14,0.82,1.6,6.5
8,30.468149,-97.630385,70.5,25.36,57.7,5.60,0.832,13.3,1.8,4.7,110,0.88,,0.189,52.1,14,0.84,1.0,6.3
9,30.468043,-97.630424,70.4,25.27,57.8,5.60,0.831,13.2,1.8,5.2,110,0.88,,0.189,52.3,14,0.78,1.4,6.6
10,30.467935,-97.630478,69.6,25.17,57.8,5.60,0.831,12.7,1.8,5.1,110,0.88,,0.180,52.1,14,0.81,0.8,6.7
11,30.467822,-97.630521,69.8,25.08,57.9,5.60,0.830,13.2,1.8,5.0,110,0.88,,0.188,52.7,14,0.79,1.1,6.9
12,30.467718,-97.630571,70.0,24.99,57.9,5.60,0.830,13.1,1.8,4.9,110,0.88,,0.168,52.5,14,0.84,2.2,6.5
13,30.467615,-97.630614,70.1,24.89,58.0,5.60,0.829,13.2,1.8,5.1,110,0.88,,0.161,51.9,14,0.79,1.3,6.9
14,30.467500,-97.630663,69.9,24.80,58.0,5.60,0.829,13.1,1.8,4.8,110,0.88,,0.171,51.6,14,0.84,1.3,6.8
15,30.467391,-97.630709,70.2,24.71,58.1,5.60,0.829,13.1,1.8,4.7,110,0.88,,0.184,51.2,14,0.76,1.7,6.5
16,30.467273,-97.630752,69.6,24.61,58.2,5.60,0.828,13.1,1.8,4.7,110,0.88,,0.171,52.2,14,0.75,1.5,6.7
17,30.467173,-97.630804,70.2,24.52,58.2,5.60,0.828,12.8,1.8,4.8,110,0.88,,0.184,52.6,14,0.79,1.6,6.5
18,30.467057,-97.630851,70.2,24.43,58.3,5.60,0.827,12.7,1.8,5.0,110,0.88,,0.196,51.7,14,0.81,1.3,6.5
19,30.466951,-97.630894,69.8,24.33,58.3,5.60,0.827,12.9,1.8,5.1,110,0.88,,0.160,52.8,14,0.75,1.4,6.9
20,30.466845,-97.630940,70.2,24.24,58.4,5.60,0.826,12.9,1.8,5.2,110,0.88,,0.189,51.7,14,0.76,1.3,6.4
21,30.466732,-97.630985,70.2,24.15,58.4,5.60,0.826,13.3,1.8,4.8,110,0.88,,0.180,51.5,14,0.76,1.4,6.7
22,30.466623,-97.631031,70.0,24.05,58.5,5.60,0.825,12.8,1.8,5.0,110,0.88,,0.170,51.9,14,0.82,1.2,6.6
23,30.466511,-97.631079,69.6,23.96,58.6,5.60,0.825,12.7,1.8,4.9,110,0.88,,0.180,52.3,14,0.79,2.2,6.9
24,30.466398,-97.631138,70.5,23.87,58.6,5.60,0.824,13.1,1.8,5.2,110,0.88,,0.194,52.5,14,0.84,1.3,6.2
25,30.466291,-97.631171,70.1,23.77,58.7,5.60,0.824,13.0,1.8,4.9,110,0.88,,0.172,51.9,14,0.78,1.2,6.4
26,30.466181,-97.631218,69.4,23.68,58.7,5.60,0.823,12.8,1.8,5.3,110,0.88,,0.170,51.6,14,0.84,2.3,6.1
27,30.466072,-97.631267,70.3,23.59,58.8,5.60,0.823,12.8,1.8,4.7,110,0.88,,0.181,52.5,14,0.83,1.1,6.6
28,30.465960,-97.631313,69.9,23.49,58.8,5.60,0.822,13.1,1.8,4.9,110,0.88,,0.166,51.6,14,0.79,1.9,6.7
29,30.465849,-97.631356,70.3,23.40,58.9,5.60,0.822,13.3,1.8,4.9,110,0.88,,0.187,52.6,14,0.84,1.8,6.2
30,30.465742,-97.631403,69.6,23.31,59.0,5.60,0.822,13.0,1.8,4.8,110,0.88,,0.167,52.2,14,0.84,2.2,6.5
31,30.465639,-97.631447,70.2,23.21,59.0,5.60,0.821,12.9,1.8,4.8,110,0.88,,0.171,51.7,14,0.84,2.2,6.4
32,30.465517,-97.631503,70.3,23.12,59.1,5.60,0.821,12.8,1.8,5.1,110,0.88,,0.169,52.7,14,0.82,1.8,6.9
33,30.465414,-97.631544,69.8,23.03,59.1,5.60,0.820,13.2,1.8,4.9,110,0.88,,0.193,51.3,14,0.84,1.4,6.4
34,30.465300,-97.631596,69.6,22.93,59.2,5.60,0.820,13.1,1.8,5.0,110,0.88,,0.165,51.5,14,0.81,1.8,6.9
35,30.465189,-97.631638,70.0,22.84,59.2,5.60,0.819,13.2,1.8,5.2,110,0.88,,0.196,51.2,14,0.81,1.0,6.7
36,30.465083,-97.631681,69.9,22.75,59.3,5.60,0.819,12.8,1.8,5.1,110,0.88,,0.180,52.4,14,0.85,1.6,6.2
37,30.464974,-97.631729,69.5,22.65,59.4,5.60,0.818,12.9,1.8,4.7,110,0.88,,0.172,52.5,14,0.83,1.6,6.4
38,30.464860,-97.631774,70.0,22.56,59.4,5.60,0.818,13.3,1.8,4.7,110,0.88,,0.176,51.4,14,0.78,0.9,6.5
39,30.464744,-97.631816,70.0,22.47,59.5,5.60,0.817,13.0,1.8,5.2,110,0.88,,0.167,51.5,14,0.76,2.3,6.8
40,30.464642,-97.631866,69.4,22.37,59.5,5.60,0.817,13.0,1.8,4.9,110,0.88,,0.182,51.7,14,0.85,2.2,6.4
41,30.464526,-97.631909,69.9,22.28,59.6,5.60,0.816,12.8,1.8,5.2,110,0.88,,0.163,52.3,14,0.81,2.0,6.2
42,30.464417,-97.631962,69.7,22.19,59.6,5.60,0.816,13.0,1.8,5.1,110,0.88,,0.190,52.6,14,0.85,1.6,6.7
43,30.464310,-97.632006,70.2,22.09,59.7,5.60,0.815,13.2,1.8,5.1,110,0.88,,0.169,51.8,14,0.76,0.9,6.5
44,30.464198,-97.632048,69.8,22.00,59.8,5.60,0.815,13.2,1.8,5.2,110,0.88,,0.198,51.7,14,0.75,1.7,6.3
45,30.464092,-97.632098,69.8,21.91,59.8,5.60,0.815,12.8,1.8,4.9,110,0.88,,0.190,51.3,14,0.78,2.1,6.8
46,30.463981,-97.632149,70.4,21.81,59.9,5.60,0.814,13.2,1.8,5.1,110,0.88,,0.165,51.3,14,0.75,0.8,6.7
47,30.463872,-97.632191,70.6,21.72,59.9,5.60,0.814,12.8,1.8,5.2,110,0.88,,0.184,51.6,14,0.81,1.3,6.7
48,30.463770,-97.632238,70.0,21.63,60.0,5.60,0.813,13.2,1.8,5.3,110,0.88,,0.179,51.5,14,0.83,1.5,6.4
49,30.463660,-97.632281,70.5,21.53,60.0,5.60,0.813,13.1,1.8,5.1,110,0.88,,0.176,51.4,14,0.78,2.0,6.1
50,30.463539,-97.632334,69.7,21.44,60.1,5.60,0.812,13.1,1.8,5.0,110,0.88,,0.188,51.6,14,0.80,1.6,6.2
51,30.463434,-97.632378,70.1,21.35,60.1,5.60,0.812,13.2,1.8,4.7,110,0.88,,0.189,51.3,14,0.85,1.3,6.8
52,30.463322,-97.632423,70.2,21.25,60.2,5.60,0.811,13.0,1.8,4.8,110,0.88,,0.190,52.6,14,0.82,1.2,6.6
53,30.463215,-97.632472,70.1,21.16,60.3,5.60,0.811,13.1,1.8,5.1,110,0.88,,0.169,52.7,14,0.85,2.3,6.7
54,30.463103,-97.632516,70.3,21.07,60.3,5.60,0.810,12.8,1.8,5.1,110,0.88,,0.184,52.7,14,0.77,0.7,6.2
55,30.462993,-97.632562,69.7,20.97,60.4,5.60,0.810,13.2,1.8,4.8,110,0.88,,0.182,51.4,14,0.77,0.8,6.9
56,30.462885,-97.632607,69.5,20.88,60.4,5.60,0.809,12.8,1.8,5.1,110,0.88,,0.191,51.9,14,0.80,0.8,6.2
57,30.462780,-97.632650,70.0,20.79,60.5,5.60,0.809,12.9,1.8,4.9,110,0.88,,0.197,52.6,14,0.82,1.3,6.3
58,30.462672,-97.632695,69.7,20.69,60.5,5.60,0.808,12.8,1.8,5.2,110,0.88,,0.182,52.6,14,0.82,2.2,6.7
