timestamp_s,latitude,longitude,altitude_m,battery_soc,battery_temp_c,battery_drop_rate_pct_min,motor_health,airspeed_mps,payload_kg,wind_speed_mps,wind_direction_deg,link_quality,power_draw_w,vibration_g,esc_temp_c,gps_satellites,gps_hdop,heading_disagreement_deg,wind_gust_mps
0,30.395279,-97.743743,88.5,45.78,49.2,0.90,0.958,13.0,2.0,4.1,200,0.97,,0.169,51.6,14,0.78,1.8,5.3
1,30.395354,-97.743626,87.5,45.77,49.2,0.90,0.958,12.8,2.0,3.8,200,0.97,,0.191,51.8,14,0.80,1.2,5.6
2,30.395398,-97.743505,87.8,45.76,49.3,0.90,0.958,12.8,2.0,4.2,200,0.97,,0.187,52.3,14,0.84,1.3,5.4
3,30.395453,-97.743386,87.9,45.74,49.3,0.90,0.958,13.1,2.0,3.7,200,0.97,,0.179,52.1,14,0.78,0.7,5.7
4,30.395519,-97.743271,87.4,45.73,49.3,0.90,0.958,12.8,2.0,3.7,200,0.97,,0.166,52.3,14,0.82,1.3,5.6
5,30.395574,-97.743154,88.0,45.71,49.3,0.90,0.958,13.2,2.0,3.9,200,0.97,,0.195,52.3,14,0.82,0.7,5.2
6,30.395641,-97.743035,88.5,45.70,49.4,0.90,0.958,13.2,2.0,3.8,200,0.97,,0.188,52.4,14,0.83,2.0,5.2
7,30.395697,-97.742908,88.4,45.68,49.4,0.90,0.957,13.1,2.0,4.2,200,0.97,,0.178,52.6,14,0.76,2.2,5.8
8,30.395747,-97.742796,88.2,45.66,49.4,0.90,0.957,12.9,2.0,3.7,200,0.97,,0.171,52.5,14,0.76,2.2,5.3
9,30.395810,-97.742682,87.5,45.65,49.4,0.90,0.957,13.3,2.0,4.2,200,0.97,,0.173,51.4,14,0.82,2.1,5.1
10,30.395865,-97.742571,88.1,45.63,49.5,0.90,0.957,13.2,2.0,3.8,200,0.97,,0.171,52.3,14,0.81,1.6,5.4
11,30.395930,-97.742453,87.7,45.62,49.5,0.90,0.957,13.1,2.0,4.2,200,0.97,,0.176,51.3,14,0.77,0.8,5.2
12,30.395987,-97.742331,87.9,45.60,49.5,0.90,0.957,13.1,2.0,4.1,200,0.97,,0.187,51.8,14,0.82,1.6,5.2
13,30.396039,-97.742218,87.8,45.59,49.5,0.90,0.957,13.1,2.0,4.1,200,0.97,,0.170,51.9,14,0.80,1.2,5.1
14,30.396110,-97.742096,87.9,45.58,49.5,0.90,0.957,13.1,2.0,3.9,200,0.97,,0.188,52.7,14,0.83,1.4,5.9
15,30.396160,-97.741982,87.5,45.56,49.6,0.90,0.957,12.9,2.0,4.0,200,0.97,,0.171,52.2,14,0.76,1.9,5.8
16,30.396220,-97.741864,88.2,45.55,49.6,0.90,0.957,13.1,2.0,4.3,200,0.97,,0.192,51.7,14,0.82,0.9,5.7
17,30.396274,-97.741745,87.7,45.53,49.6,0.90,0.957,12.8,2.0,3.8,200,0.97,,0.192,51.4,14,0.77,1.0,5.2
18,30.396335,-97.741638,88.5,45.52,49.6,0.90,0.957,13.0,2.0,3.7,200,0.97,,0.168,52.0,14,0.82,2.2,5.5
19,30.396395,-97.741508,88.1,45.50,49.7,0.90,0.957,13.3,2.0,3.9,200,0.97,,0.197,52.6,14,0.81,1.5,5.2
20,30.396458,-97.741390,88.3,45.48,49.7,0.90,0.957,13.3,2.0,4.1,200,0.97,,0.200,51.8,14,0.76,0.8,5.3
21,30.396509,-97.741279,88.6,45.47,49.7,0.90,0.957,12.9,2.0,3.8,200,0.97,,0.189,51.8,14,0.81,0.9,5.8
22,30.396570,-97.741161,87.8,45.45,49.7,0.90,0.956,12.7,2.0,3.9,200,0.97,,0.196,52.0,14,0.77,0.9,5.2
23,30.396616,-97.741038,88.5,45.44,49.8,0.90,0.956,13.2,2.0,4.2,200,0.97,,0.190,51.5,14,0.83,1.1,5.5
24,30.396689,-97.740926,88.1,45.42,49.8,0.90,0.956,13.1,2.0,4.1,200,0.97,,0.187,51.8,14,0.83,2.2,5.6
25,30.396747,-97.740809,88.4,45.41,49.8,0.90,0.956,12.7,2.0,4.1,200,0.97,,0.164,52.3,14,0.79,2.1,5.1
26,30.396805,-97.740692,87.4,45.40,49.8,0.90,0.956,12.8,2.0,4.3,200,0.97,,0.193,52.7,14,0.77,1.8,5.7
27,30.396862,-97.740575,87.7,45.38,49.9,0.90,0.956,13.3,2.0,4.1,200,0.97,,0.187,51.7,14,0.79,1.9,5.5
28,30.396915,-97.740457,88.4,45.37,49.9,0.90,0.956,12.7,2.0,4.0,200,0.97,,0.189,51.2,14,0.82,1.2,5.6
29,30.396977,-97.740342,87.6,45.35,49.9,0.90,0.956,13.3,2.0,3.8,200,0.97,,0.165,51.9,14,0.76,0.9,5.7
30,30.397046,-97.740216,87.9,45.34,49.9,0.90,0.956,13.2,2.0,4.2,200,0.97,,0.167,51.3,14,0.83,2.1,5.8
31,30.397095,-97.740109,88.0,45.32,49.9,0.90,0.956,13.3,2.0,4.1,200,0.97,,0.191,52.7,14,0.76,1.9,5.6
32,30.397155,-97.739988,88.0,45.30,50.0,0.90,0.956,13.0,2.0,3.9,200,0.97,,0.183,52.6,14,0.85,1.6,5.7
33,30.397220,-97.739866,87.6,45.29,50.0,0.90,0.956,13.0,2.0,4.2,200,0.97,,0.165,51.4,14,0.80,1.2,5.2
34,30.397276,-97.739745,87.6,45.27,50.0,0.90,0.956,13.2,2.0,3.7,200,0.97,,0.170,52.3,14,0.75,1.2,5.2
35,30.397330,-97.739631,88.5,45.26,50.0,0.90,0.956,12.8,2.0,4.1,200,0.97,,0.196,51.6,14,0.84,1.2,5.7
36,30.397382,-97.739523,88.2,45.24,50.1,0.90,0.956,12.9,2.0,4.0,200,0.97,,0.172,51.7,14,0.84,2.3,5.2
37,30.397455,-97.739407,88.3,45.23,50.1,0.90,0.955,12.7,2.0,3.8,200,0.97,,0.177,52.6,14,0.84,1.1,5.5
38,30.397506,-97.739285,87.9,45.22,50.1,0.90,0.955,13.1,2.0,4.2,200,0.97,,0.195,51.2,14,0.77,0.9,5.6
39,30.397562,-97.739166,88.5,45.20,50.1,0.90,0.955,13.1,2.0,4.1,200,0.97,,0.187,51.5,14,0.84,2.1,5.8
40,30.397622,-97.739051,87.8,45.19,50.2,0.90,0.955,13.1,2.0,3.8,200,0.97,,0.195,52.6,14,0.82,1.5,5.2
41,30.397681,-97.738935,87.6,45.17,50.2,0.90,0.955,13.0,2.0,4.2,200,0.97,,0.185,51.6,14,0.84,1.2,5.4
42,30.397739,-97.738815,88.2,45.16,50.2,0.90,0.955,13.0,2.0,4.2,200,0.97,,0.175,52.1,14,0.85,0.8,5.7
43,30.397796,-97.738698,87.8,45.14,50.2,0.90,0.955,12.9,2.0,3.8,200,0.97,,0.194,51.5,14,0.85,1.5,5.3
44,30.397858,-97.738592,87.6,45.12,50.2,0.90,0.955,13.1,2.0,3.7,200,0.97,,0.167,51.9,14,0.78,1.2,5.6
45,30.397915,-97.738470,87.9,45.11,50.3,0.90,0.955,13.0,2.0,4.2,200,0.97,,0.169,52.8,14,0.75,1.3,5.8
46,30.397973,-97.738345,88.6,45.09,50.3,0.90,0.955,13.2,2.0,3.7,200,0.97,,0.182,51.4,14,0.75,1.1,5.7
47,30.398029,-97.738230,87.7,45.08,50.3,0.90,0.955,13.0,2.0,3.7,200,0.97,,0.174,51.4,14,0.83,1.3,5.7
48,30.398087,-97.738106,87.7,45.06,50.3,0.90,0.955,13.0,2.0,4.2,200,0.97,,0.163,51.5,14,0.75,1.5,5.2
49,30.398145,-97.737995,87.6,45.05,50.4,0.90,0.955,13.0,2.0,3.9,200,0.97,,0.190,52.5,14,0.85,1.4,5.8
50,30.398212,-97.737884,88.5,45.03,50.4,0.90,0.955,12.8,2.0,4.2,200,0.97,,0.187,52.2,14,0.82,1.1,5.8
51,30.398263,-97.737775,87.6,45.02,50.4,0.90,0.955,13.3,2.0,4.1,200,0.97,,0.162,51.3,14,0.77,1.8,5.7
52,30.398327,-97.737644,87.6,45.01,50.4,0.90,0.954,12.8,2.0,3.9,200,0.97,,0.177,51.8,14,0.83,1.7,5.7
53,30.398384,-97.737528,88.3,44.99,50.5,0.90,0.954,13.0,2.0,3.9,200,0.97,,0.181,51.9,14,0.82,2.1,5.6
54,30.398441,-97.737402,87.5,44.98,50.5,0.90,0.954,12.8,2.0,4.0,200,0.97,,0.198,52.3,14,0.76,2.2,5.7
55,30.398498,-97.737293,87.4,44.96,50.5,0.90,0.954,12.9,2.0,3.9,200,0.97,,0.179,51.4,14,0.81,1.7,5.6
56,30.398556,-97.737174,88.4,44.95,50.5,0.90,0.954,13.2,2.0,4.2,200,0.97,,0.191,51.6,14,0.78,0.8,5.7
57,30.398617,-97.737058,88.5,44.93,50.6,0.90,0.954,13.1,2.0,4.2,200,0.97,,0.194,51.4,14,0.76,2.1,5.9
58,30.398674,-97.736944,88.4,44.91,50.6,0.90,0.954,12.9,2.0,3.7,200,0.97,,0.192,51.3,14,0.82,1.7,5.2
59,30.398730,-97.736821,87.7,44.90,50.6,0.90,0.954,13.2,2.0,4.2,200,0.97,,0.173,51.4,14,0.78,1.4,5.6
60,30.398793,-97.736705,88.2,44.88,50.6,0.90,0.954,13.0,2.0,4.1,200,0.97,,0.186,52.1,14,0.83,1.0,5.7
61,30.398852,-97.736585,88.0,44.87,50.6,0.90,0.954,13.0,2.0,4.0,200,0.97,,0.164,51.9,14,0.78,1.1,5.4
62,30.398907,-97.736469,88.5,44.85,50.7,0.90,0.954,13.3,2.0,3.8,200,0.97,,0.169,51.9,14,0.81,1.8,5.6
63,30.398960,-97.736353,88.6,44.84,50.7,0.90,0.954,13.3,2.0,4.2,200,0.97,,0.170,52.4,14,0.75,2.2,5.7
64,30.399033,-97.736240,87.7,44.83,50.7,0.90,0.954,13.3,2.0,3.8,200,0.97,,0.160,51.6,14,0.82,1.6,5.7
65,30.399083,-97.736123,88.3,44.81,50.7,0.90,0.954,13.3,2.0,3.7,200,0.97,,0.164,51.7,14,0.76,1.6,5.7
66,30.399145,-97.735997,87.4,44.80,50.8,0.90,0.954,12.9,2.0,3.9,200,0.97,,0.188,52.8,14,0.76,1.5,5.5
67,30.399201,-97.735884,87.6,44.78,50.8,0.90,0.953,13.3,2.0,3.9,200,0.97,,0.183,51.9,14,0.81,2.1,5.6
68,30.399258,-97.735764,88.6,44.77,50.8,0.90,0.953,13.1,2.0,3.8,200,0.97,,0.199,52.6,14,0.80,2.0,5.2
69,30.399318,-97.735649,88.0,44.75,50.8,0.90,0.953,13.3,2.0,3.9,200,0.97,,0.200,52.1,14,0.82,2.0,5.2
70,30.399379,-97.735534,87.6,44.73,50.9,0.90,0.953,13.2,2.0,4.0,200,0.97,,0.197,52.6,14,0.80,1.4,5.7
71,30.399437,-97.735415,87.8,44.72,50.9,0.90,0.953,13.0,2.0,3.8,200,0.97,,0.162,51.3,14,0.79,1.7,5.8
72,30.399494,-97.735303,88.4,44.70,50.9,0.90,0.953,12.9,2.0,3.9,200,0.97,,0.182,52.8,14,0.80,0.8,5.4
73,30.399552,-97.735181,88.2,44.69,50.9,0.90,0.953,12.8,2.0,3.9,200,0.97,,0.167,52.0,14,0.79,1.2,5.5
74,30.399611,-97.735071,87.9,44.67,51.0,0.90,0.953,13.3,2.0,3.8,200,0.97,,0.163,51.4,14,0.80,1.2,5.3
75,30.399675,-97.734946,88.3,44.66,51.0,0.90,0.953,12.7,2.0,4.1,200,0.97,,0.199,51.6,14,0.81,2.1,5.5
76,30.399734,-97.734833,88.3,44.65,51.0,0.90,0.953,13.0,2.0,4.2,200,0.97,,0.199,52.5,14,0.80,1.8,5.8
