timestamp_s,latitude,longitude,altitude_m,battery_soc,battery_temp_c,battery_drop_rate_pct_min,motor_health,airspeed_mps,payload_kg,wind_speed_mps,wind_direction_deg,link_quality,power_draw_w,vibration_g,esc_temp_c,gps_satellites,gps_hdop,heading_disagreement_deg,wind_gust_mps
0,30.435847,-97.624726,80.1,22.35,49.0,3.20,0.900,12.8,2.1,5.1,160,0.94,,0.161,52.5,14,0.76,0.8,6.2
1,30.435963,-97.624776,80.4,22.29,49.0,3.20,0.900,12.7,2.1,4.9,160,0.94,,0.160,51.3,14,0.77,1.0,6.5
2,30.436060,-97.624828,80.1,22.24,49.1,3.20,0.899,12.8,2.1,5.3,160,0.93,,0.171,52.1,14,0.77,1.3,6.5
3,30.436177,-97.624871,80.3,22.19,49.1,3.20,0.899,12.9,2.1,5.0,160,0.92,,0.182,52.3,14,0.75,1.0,6.2
4,30.436288,-97.624914,79.7,22.13,49.1,3.20,0.899,12.9,2.1,4.8,160,0.92,,0.178,52.5,14,0.84,2.1,6.6
5,30.436397,-97.624960,80.4,22.08,49.1,3.20,0.899,13.3,2.1,5.0,160,0.91,,0.187,52.1,14,0.83,1.9,6.6
6,30.436513,-97.625010,79.8,22.03,49.2,3.20,0.899,13.0,2.1,4.9,160,0.90,,0.185,51.9,14,0.80,1.0,6.5
7,30.436629,-97.625054,79.9,21.97,49.2,3.20,0.899,13.3,2.1,5.2,160,0.89,,0.174,52.2,14,0.76,2.2,6.4
8,30.436726,-97.625102,79.4,21.92,49.2,3.20,0.898,13.1,2.1,5.0,160,0.89,,0.175,52.1,14,0.77,1.7,6.3
9,30.436841,-97.625148,80.0,21.87,49.2,3.20,0.898,13.2,2.1,4.7,160,0.88,,0.185,51.4,14,0.82,1.5,6.4
10,30.436950,-97.625189,79.5,21.81,49.3,3.20,0.898,12.8,2.1,5.2,160,0.87,,0.171,51.8,14,0.84,1.4,6.7
11,30.437065,-97.625230,80.4,21.76,49.3,3.20,0.898,13.2,2.1,4.8,160,0.87,,0.192,51.7,14,0.79,1.6,6.5
12,30.437163,-97.625289,80.0,21.71,49.3,3.20,0.898,12.8,2.1,5.3,160,0.86,,0.194,52.6,14,0.81,1.9,6.8
13,30.437279,-97.625327,79.5,21.65,49.4,3.20,0.898,13.3,2.1,5.0,160,0.85,,0.188,51.9,14,0.82,2.2,6.3
14,30.437378,-97.625375,80.1,21.60,49.4,3.20,0.897,13.0,2.1,4.8,160,0.84,,0.187,51.4,14,0.77,1.2,6.6
15,30.437497,-97.625423,79.9,21.55,49.4,3.20,0.897,12.8,2.1,5.2,160,0.84,,0.191,52.0,14,0.76,2.1,6.3
16,30.437607,-97.625470,79.7,21.49,49.4,3.20,0.897,13.1,2.1,4.9,160,0.83,,0.165,51.4,14,0.75,1.2,6.8
17,30.437712,-97.625514,80.0,21.44,49.5,3.20,0.897,12.7,2.1,5.0,160,0.82,,0.163,51.3,14,0.85,1.2,6.5
18,30.437828,-97.625564,80.6,21.39,49.5,3.20,0.897,12.9,2.1,4.9,160,0.82,,0.192,52.2,14,0.75,1.4,6.5
19,30.437941,-97.625624,79.5,21.33,49.5,3.20,0.897,13.1,2.1,4.8,160,0.81,,0.189,51.4,14,0.76,1.4,6.3
20,30.438048,-97.625647,79.5,21.28,49.5,3.20,0.896,13.0,2.1,4.9,160,0.80,,0.162,52.3,14,0.81,1.6,6.7
21,30.438160,-97.625713,80.3,21.23,49.5,3.20,0.896,12.9,2.1,5.1,160,0.80,,0.198,51.3,14,0.84,1.6,6.7
22,30.438272,-97.625755,80.5,21.17,49.6,3.20,0.896,13.0,2.1,4.9,160,0.79,,0.171,52.6,14,0.85,2.2,6.1
23,30.438383,-97.625791,79.9,21.12,49.6,3.20,0.896,12.8,2.1,5.1,160,0.78,,0.163,52.5,14,0.76,1.2,6.5
24,30.438492,-97.625836,79.8,21.07,49.6,3.20,0.896,12.7,2.1,5.0,160,0.77,,0.177,52.5,14,0.77,1.2,6.7
25,30.438596,-97.625891,80.0,21.01,49.6,3.20,0.896,12.9,2.1,5.3,160,0.77,,0.163,52.0,14,0.80,1.6,6.1
26,30.438698,-97.625932,79.6,20.96,49.7,3.20,0.895,12.7,2.1,4.9,160,0.76,,0.188,51.8,14,0.84,1.4,6.6
27,30.438818,-97.625982,79.9,20.91,49.7,3.20,0.895,12.9,2.1,5.2,160,0.75,,0.197,51.9,14,0.77,2.0,6.4
28,30.438922,-97.626024,80.5,20.85,49.7,3.20,0.895,13.0,2.1,5.2,160,0.75,,0.198,52.5,14,0.83,2.1,6.7
29,30.439036,-97.626069,80.5,20.80,49.8,3.20,0.895,12.8,2.1,4.9,160,0.74,,0.190,51.9,14,0.78,1.0,6.2
30,30.439145,-97.626119,80.3,20.75,49.8,3.20,0.895,13.1,2.1,5.2,160,0.73,,0.177,51.2,14,0.78,1.9,6.3
31,30.439253,-97.626165,79.9,20.69,49.8,3.20,0.895,13.0,2.1,4.9,160,0.73,,0.188,51.7,14,0.81,1.3,6.8
32,30.439363,-97.626210,79.8,20.64,49.8,3.20,0.894,12.7,2.1,4.9,160,0.72,,0.180,52.0,14,0.77,2.2,6.9
33,30.439468,-97.626261,79.5,20.59,49.9,3.20,0.894,12.8,2.1,5.1,160,0.71,,0.197,51.5,14,0.82,1.9,6.5
34,30.439591,-97.626290,80.3,20.53,49.9,3.20,0.894,13.2,2.1,5.1,160,0.70,,0.191,52.6,14,0.80,1.7,6.7
35,30.439692,-97.626347,80.1,20.48,49.9,3.20,0.894,12.9,2.1,4.9,160,0.70,,0.191,52.0,14,0.77,2.3,6.6
36,30.439806,-97.626391,80.2,20.43,49.9,3.20,0.894,12.8,2.1,5.0,160,0.69,,0.185,51.4,14,0.81,1.9,6.2
37,30.439915,-97.626444,80.3,20.37,50.0,3.20,0.894,13.2,2.1,5.2,160,0.68,,0.174,52.2,14,0.81,1.5,6.2
38,30.440036,-97.626494,80.1,20.32,50.0,3.20,0.893,12.9,2.1,5.1,160,0.68,,0.176,52.3,14,0.78,2.2,6.6
39,30.440131,-97.626538,79.9,20.27,50.0,3.20,0.893,13.0,2.1,5.0,160,0.67,,0.170,52.4,14,0.83,2.2,6.1
40,30.440240,-97.626573,79.6,20.21,50.0,3.20,0.893,12.8,2.1,4.8,160,0.66,,0.196,52.7,14,0.83,0.9,6.1
41,30.440352,-97.626626,80.6,20.16,50.0,3.20,0.893,12.8,2.1,5.2,160,0.66,,0.177,51.5,14,0.75,0.7,6.7
42,30.440467,-97.626678,79.7,20.11,50.1,3.20,0.893,12.9,2.1,5.1,160,0.65,,0.175,51.6,14,0.79,1.5,6.7
43,30.440578,-97.626718,79.8,20.05,50.1,3.20,0.893,12.9,2.1,5.3,160,0.64,,0.199,51.5,14,0.79,1.4,6.6
44,30.440685,-97.626767,80.5,20.00,50.1,3.20,0.892,13.1,2.1,5.0,160,0.64,,0.195,52.3,14,0.76,2.1,6.8
45,30.440795,-97.626817,79.6,19.95,50.1,3.20,0.892,13.1,2.1,4.9,160,0.63,,0.165,52.5,14,0.85,1.3,6.7
46,30.440901,-97.626860,80.1,19.89,50.2,3.20,0.892,13.0,2.1,4.9,160,0.62,,0.169,51.7,14,0.78,1.7,6.3
47,30.441016,-97.626904,80.6,19.84,50.2,3.20,0.892,12.9,2.1,4.8,160,0.61,,0.168,52.5,14,0.82,1.0,6.6
48,30.441121,-97.626952,80.3,19.79,50.2,3.20,0.892,12.8,2.1,4.9,160,0.61,,0.190,52.4,14,0.82,2.1,6.7
49,30.441233,-97.626999,79.7,19.73,50.2,3.20,0.892,13.2,2.1,4.9,160,0.60,,0.173,52.3,14,0.81,2.1,6.3
50,30.441345,-97.627050,80.5,19.68,50.3,3.20,0.891,12.7,2.1,4.8,160,0.59,,0.161,52.5,14,0.77,0.9,6.6
51,30.441461,-97.627091,80.0,19.63,50.3,3.20,0.891,12.8,2.1,4.9,160,0.59,,0.176,52.5,14,0.77,1.0,6.1
52,30.441556,-97.627140,80.2,19.57,50.3,3.20,0.891,12.7,2.1,4.9,160,0.58,,0.190,52.5,14,0.81,0.7,6.3
53,30.441669,-97.627180,80.5,19.52,50.4,3.20,0.891,12.8,2.1,4.9,160,0.57,,0.176,52.1,14,0.76,1.0,6.7
54,30.441784,-97.627226,79.8,19.47,50.4,3.20,0.891,13.0,2.1,4.7,160,0.56,,0.169,52.3,14,0.78,0.9,6.9
55,30.441889,-97.627280,80.0,19.41,50.4,3.20,0.891,13.0,2.1,5.2,160,0.56,,0.193,51.8,14,0.81,1.5,6.5
