timestamp_s,latitude,longitude,altitude_m,battery_soc,battery_temp_c,battery_drop_rate_pct_min,motor_health,airspeed_mps,payload_kg,wind_speed_mps,wind_direction_deg,link_quality,power_draw_w,vibration_g,esc_temp_c,gps_satellites,gps_hdop,heading_disagreement_deg,wind_gust_mps
0,30.414974,-97.630516,86.5,30.97,44.6,2.00,0.922,12.2,2.9,4.9,30,0.93,1335,0.546,68.0,14,0.76,2.2,6.9
1,30.415065,-97.630451,86.3,30.93,44.6,2.00,0.922,11.7,2.9,4.9,30,0.93,1323,0.550,68.5,14,0.80,1.9,6.3
2,30.415158,-97.630390,85.4,30.90,44.6,2.00,0.922,12.3,2.9,4.9,30,0.93,1324,0.541,68.6,14,0.81,2.2,6.6
3,30.415254,-97.630325,86.6,30.87,44.6,2.00,0.922,11.7,2.9,5.3,30,0.93,1328,0.545,68.0,14,0.75,1.3,6.7
4,30.415345,-97.630267,86.5,30.83,44.7,2.00,0.921,11.8,2.9,4.9,30,0.93,1324,0.568,67.9,14,0.76,1.8,6.5
5,30.415445,-97.630205,85.5,30.80,44.7,2.00,0.921,12.2,2.9,4.9,30,0.93,1328,0.542,67.7,14,0.78,1.3,6.5
6,30.415524,-97.630147,85.7,30.77,44.7,2.00,0.921,12.2,2.9,4.8,30,0.93,1329,0.570,68.2,14,0.84,1.5,6.8
7,30.415636,-97.630083,86.3,30.73,44.7,2.00,0.921,11.9,2.9,4.9,30,0.93,1323,0.581,68.4,14,0.79,0.8,6.1
8,30.415713,-97.630012,86.3,30.70,44.7,2.00,0.921,11.8,2.9,5.0,30,0.93,1335,0.566,68.4,14,0.76,1.5,6.5
9,30.415811,-97.629951,86.3,30.67,44.7,2.00,0.921,12.1,2.9,4.8,30,0.93,1332,0.576,68.1,14,0.75,2.3,6.6
10,30.415907,-97.629890,85.4,30.63,44.7,2.00,0.921,12.2,2.9,5.0,30,0.93,1335,0.554,69.1,14,0.83,1.0,6.8
11,30.416006,-97.629819,86.4,30.60,44.7,2.00,0.921,12.0,2.9,5.2,30,0.93,1341,0.576,68.7,14,0.76,2.2,6.4
12,30.416087,-97.629764,86.6,30.57,44.8,2.00,0.921,11.9,2.9,4.9,30,0.93,1328,0.558,68.6,14,0.79,1.8,6.5
13,30.416192,-97.629695,86.0,30.53,44.8,2.00,0.921,12.0,2.9,4.7,30,0.93,1329,0.565,68.7,14,0.79,1.0,6.5
14,30.416279,-97.629638,85.9,30.50,44.8,2.00,0.920,11.8,2.9,5.1,30,0.93,1327,0.563,69.2,14,0.77,1.8,6.7
