timestamp_s,latitude,longitude,altitude_m,battery_soc,battery_temp_c,battery_drop_rate_pct_min,motor_health,airspeed_mps,payload_kg,wind_speed_mps,wind_direction_deg,link_quality,power_draw_w,vibration_g,esc_temp_c,gps_satellites,gps_hdop,heading_disagreement_deg,wind_gust_mps
0,30.423788,-97.681581,75.6,20.33,53.8,4.40,0.844,13.2,2.1,6.1,45,0.90,,0.180,52.2,14,0.77,1.0,7.7
1,30.423705,-97.681677,75.7,20.25,53.9,4.40,0.843,13.2,2.1,6.3,45,0.90,,0.179,51.7,14,0.79,0.8,7.1
2,30.423626,-97.681771,75.7,20.18,53.9,4.40,0.843,12.9,2.1,6.3,45,0.90,,0.191,52.6,14,0.82,1.4,7.1
3,30.423538,-97.681869,75.8,20.11,54.0,4.40,0.843,13.0,2.1,5.7,45,0.90,,0.193,51.4,14,0.79,2.3,7.5
4,30.423457,-97.681964,75.8,20.03,54.0,4.40,0.842,13.1,2.1,6.3,45,0.90,,0.173,51.3,14,0.80,0.9,7.3
5,30.423382,-97.682060,75.4,19.96,54.1,4.40,0.842,12.8,2.1,6.0,45,0.90,,0.163,51.6,14,0.79,0.8,7.9
6,30.423304,-97.682153,76.0,19.89,54.1,4.40,0.841,13.3,2.1,6.1,45,0.90,,0.169,52.1,14,0.83,1.6,7.6
7,30.423210,-97.682252,76.0,19.81,54.1,4.40,0.841,13.1,2.1,6.1,45,0.90,,0.187,51.9,14,0.79,1.2,7.2
8,30.423116,-97.682356,76.4,19.74,54.2,4.40,0.841,12.9,2.1,6.3,45,0.90,,0.180,52.4,14,0.78,1.6,7.9
9,30.423050,-97.682446,76.3,19.67,54.2,4.40,0.840,13.2,2.1,5.8,45,0.90,,0.192,52.0,14,0.82,2.2,7.6
10,30.422959,-97.682541,75.6,19.59,54.3,4.40,0.840,13.0,2.1,5.8,45,0.90,,0.166,51.6,14,0.80,1.2,7.4
11,30.422880,-97.682633,76.2,19.52,54.3,4.40,0.840,12.8,2.1,6.2,45,0.90,,0.185,52.2,14,0.81,1.1,7.5
12,30.422799,-97.682736,76.1,19.45,54.4,4.40,0.839,13.1,2.1,5.8,45,0.90,,0.166,52.6,14,0.85,0.7,7.2
13,30.422710,-97.682834,75.5,19.37,54.4,4.40,0.839,13.0,2.1,6.2,45,0.90,,0.200,52.4,14,0.77,2.2,7.6
14,30.422630,-97.682923,76.0,19.30,54.5,4.40,0.839,13.1,2.1,5.8,45,0.90,,0.176,51.7,14,0.83,2.1,7.6
15,30.422545,-97.683022,75.9,19.23,54.5,4.40,0.838,13.1,2.1,5.9,45,0.90,,0.192,51.8,14,0.82,1.9,7.8
16,30.422464,-97.683117,75.9,19.15,54.5,4.40,0.838,13.1,2.1,5.9,45,0.90,,0.191,51.8,14,0.82,1.7,7.5
